survey_id,richness
Aow Mao_2025-03-05_Camille,12
Aow Mao_2025-03-05_Georgia,11
Aow Mao_2025-03-05_Martin,12
Aow Mao_2025-03-05_Max,9
Aow Mao_2025-03-05_Olive,8
Aow Mao_2025-03-27_Emma,15
Aow Mao_2025-03-27_Georgia,11
Aow Mao_2025-03-27_Tessa,12
Aow Mao_2025-04-10_Niamh,13
Aow Mao_2025-04-10_Tessa,14
Aow Mao_2025-04-19_Niamh,13
Aow Mao_2025-04-19_Tessa,11
Aow Mao_2025-04-24_Camille,14
Aow Mao_2025-04-24_Renzo,12
Aow Mao_2025-04-24_Tessa,14
Aow Mao_2025-05-07_Bjarne,10
Aow Mao_2025-05-07_Lucca,11
Aow Mao_2025-06-09_Elena,13
Aow Mao_2025-06-09_Jess F,13
Aow Mao_2025-06-09_Mirea,14
Aow Mao_2025-06-10_Elena,9
Aow Mao_2025-06-10_Emma J,11
Aow Mao_2025-06-10_James,10
Aow Mao_2025-06-10_Jess F,14
Aow Mao_2025-06-18_Camille,12
Aow Mao_2025-06-18_Jess,13
Aow Mao_2025-08-20_Sophie,12
Aow Mao_2025-09-10_Maddie,12
Aow Mao_2025-09-10_Mario,11
Aow Mao_2025-09-30_Jake,14
Aow Mao_2025-09-30_Maddie,13
Aow Mao_2025-09-30_Nicole,13
Aow Mao_2025-09-30_Ruby,13
Aow Mao_2025-09-30_Thomas,13
Aow Mao_2025-09-30_Tilda,13
Aow Mao_2025-10-15_Lily,14
Aow Mao_2025-10-15_Marianna,11
Hin Pee Wee_2022-11-01_GlobalReef,15
Hin Pee Wee_2023-05-01_GlobalReef,19
Hin Pee Wee_2023-06-01_GlobalReef,16
Hin Pee Wee_2023-07-01_GlobalReef,15
Hin Pee Wee_2023-08-01_GlobalReef,19
Hin Pee Wee_2023-09-01_GlobalReef,15
Hin Pee Wee_2023-10-01_GlobalReef,19
Hin Pee Wee_2024-01-01_GlobalReef,19
Hin Pee Wee_2024-03-01_GlobalReef,16
Hin Pee Wee_2024-04-01_GlobalReef,13
Hin Pee Wee_2024-06-01_GlobalReef,19
Hin Pee Wee_2024-07-26_GlobalReef,18
Hin Pee Wee_2024-08-07_GlobalReef,16
Hin Pee Wee_2024-08-11_GlobalReef,16
Hin Pee Wee_2024-08-19_GlobalReef,17
Hin Pee Wee_2024-08-24_GlobalReef,15
Hin Pee Wee_2024-09-01_GlobalReef,16
Hin Pee Wee_2024-09-04_GlobalReef,15
Hin Pee Wee_2024-09-24_GlobalReef,17
Hin Pee Wee_2024-10-09_GlobalReef,17
Hin Pee Wee_2025-02-06_Camille,12
Hin Pee Wee_2025-02-06_Georgia,12
Hin Pee Wee_2025-02-11_Ben,14
Hin Pee Wee_2025-02-11_Georgia,15
Hin Pee Wee_2025-02-17_Ben,16
Hin Pee Wee_2025-02-17_Georgia,13
Hin Pee Wee_2025-02-17_Jen,14
Hin Pee Wee_2025-02-27_Max,10
Hin Pee Wee_2025-02-27_Olive,11
Hin Pee Wee_2025-03-12_Georgia,14
Hin Pee Wee_2025-03-12_Martin,13
Hin Pee Wee_2025-03-19_Camille,11
Hin Pee Wee_2025-03-19_Elise,12
Hin Pee Wee_2025-04-28_Camille,12
Hin Pee Wee_2025-04-28_Lucca,12
Hin Pee Wee_2025-05-13_Bjarne,15
Hin Pee Wee_2025-05-13_Tessa,15
Hin Pee Wee_2025-05-19_Bjarne,14
Hin Pee Wee_2025-05-19_Camille,16
Hin Pee Wee_2025-05-19_Emma,17
Hin Pee Wee_2025-05-19_Tessa,16
Hin Pee Wee_2025-09-09_Maddie,11
Hin Pee Wee_2025-09-09_Mario,13
Hin Pee Wee_2025-10-08_Agathe,10
Hin Pee Wee_2025-10-08_SK,13
Hin Pee Wee_2025-10-09_Ruby,14
Hin Pee Wee_2025-10-09_Tilda,15
No Name Pinnacle_2022-11-01_GlobalReef,17
No Name Pinnacle_2023-04-01_GlobalReef,15
No Name Pinnacle_2023-05-01_GlobalReef,13
No Name Pinnacle_2023-07-01_GlobalReef,13
No Name Pinnacle_2023-08-01_GlobalReef,11
No Name Pinnacle_2023-09-01_GlobalReef,15
No Name Pinnacle_2023-10-01_GlobalReef,13
No Name Pinnacle_2023-12-09_GlobalReef,12
No Name Pinnacle_2024-01-01_GlobalReef,7
No Name Pinnacle_2024-02-01_GlobalReef,12
No Name Pinnacle_2024-03-04_GlobalReef,12
No Name Pinnacle_2024-03-11_GlobalReef,11
No Name Pinnacle_2024-03-17_GlobalReef,13
No Name Pinnacle_2024-03-18_GlobalReef,13
No Name Pinnacle_2024-04-24_GlobalReef,11
No Name Pinnacle_2024-06-01_GlobalReef,14
No Name Pinnacle_2024-07-01_GlobalReef,12
No Name Pinnacle_2024-08-01_GlobalReef,15
No Name Pinnacle_2024-09-03_GlobalReef,14
No Name Pinnacle_2024-10-01_GlobalReef,15
No Name Pinnacle_2025-02-10_Elise,12
No Name Pinnacle_2025-02-10_Martin,13
No Name Pinnacle_2025-02-19_Olive,11
No Name Pinnacle_2025-02-27_Gavin,8
No Name Pinnacle_2025-02-27_Max,11
No Name Pinnacle_2025-02-27_Olive,10
No Name Pinnacle_2025-02-28_Camille,8
No Name Pinnacle_2025-02-28_Jen,7
No Name Pinnacle_2025-03-12_Camille,12
No Name Pinnacle_2025-03-18_Camille,12
No Name Pinnacle_2025-03-18_Elise,13
No Name Pinnacle_2025-03-20_Camille,7
No Name Pinnacle_2025-03-20_Georgia,10
No Name Pinnacle_2025-03-20_Jess,12
No Name Pinnacle_2025-03-20_Olive,10
No Name Pinnacle_2025-03-24_Camille,14
No Name Pinnacle_2025-03-24_Elise,14
No Name Pinnacle_2025-04-23_Camille,11
No Name Pinnacle_2025-04-23_Lucca,10
No Name Pinnacle_2025-05-13_Camille,10
No Name Pinnacle_2025-05-13_Lucca,11
No Name Pinnacle_2025-05-28_Elena,11
No Name Pinnacle_2025-05-28_Emma,12
No Name Pinnacle_2025-05-28_Emma J,8
No Name Pinnacle_2025-05-28_Flo,11
No Name Pinnacle_2025-05-28_Gavin,11
No Name Pinnacle_2025-05-28_James,11
No Name Pinnacle_2025-05-28_Jess,12
No Name Pinnacle_2025-05-28_Mirea,12
No Name Pinnacle_2025-06-17_James,13
No Name Pinnacle_2025-06-17_Jess,13
No Name Pinnacle_2025-08-05_Iola,13
No Name Pinnacle_2025-08-05_Maddy,13
No Name Pinnacle_2025-10-08_Agathe,10
No Name Pinnacle_2025-10-08_SK,10
No Name Wreck_2023-08-01_GlobalReef,6
No Name Wreck_2023-09-01_GlobalReef,14
No Name Wreck_2023-10-01_GlobalReef,13
No Name Wreck_2023-12-01_GlobalReef,10
No Name Wreck_2024-01-01_GlobalReef,6
No Name Wreck_2024-02-01_GlobalReef,13
No Name Wreck_2024-03-04_GlobalReef,10
No Name Wreck_2024-03-11_GlobalReef,7
No Name Wreck_2024-03-17_GlobalReef,8
No Name Wreck_2024-03-18_GlobalReef,11
No Name Wreck_2024-04-01_GlobalReef,10
No Name Wreck_2024-06-01_GlobalReef,13
No Name Wreck_2024-06-05_GlobalReef,12
No Name Wreck_2024-07-01_GlobalReef,14
No Name Wreck_2024-08-01_GlobalReef,13
No Name Wreck_2024-10-01_GlobalReef,17
No Name Wreck_2025-02-10_Bjarne,11
No Name Wreck_2025-02-10_Olive,11
No Name Wreck_2025-02-19_Olive,12
No Name Wreck_2025-02-27_Gavin,10
No Name Wreck_2025-02-28_Camille,11
No Name Wreck_2025-02-28_Jen,10
No Name Wreck_2025-03-12_Martin,13
No Name Wreck_2025-03-18_Georgia,12
No Name Wreck_2025-03-18_Max,12
No Name Wreck_2025-03-20_Jess,8
No Name Wreck_2025-03-20_Olive,9
No Name Wreck_2025-03-24_Georgia,13
No Name Wreck_2025-03-24_Max,14
No Name Wreck_2025-04-23_Camille,11
No Name Wreck_2025-04-23_Lucca,7
No Name Wreck_2025-05-05_Lucca,11
No Name Wreck_2025-05-05_Renzo,9
No Name Wreck_2025-05-05_Tessa,10
No Name Wreck_2025-05-13_Bjarne,11
No Name Wreck_2025-05-13_Tessa,12
No Name Wreck_2025-05-28_Elena,7
No Name Wreck_2025-05-28_Emma J,10
No Name Wreck_2025-05-28_Flo,11
No Name Wreck_2025-05-28_Gavin,11
No Name Wreck_2025-05-28_James,9
No Name Wreck_2025-05-28_Jess F,10
No Name Wreck_2025-05-28_Mirea,12
No Name Wreck_2025-06-17_Elena,5
No Name Wreck_2025-06-17_Mirea,6
No Name Wreck_2025-07-28_Amira,6
No Name Wreck_2025-07-28_Hannah,9
No Name Wreck_2025-07-28_Jen,9
No Name Wreck_2025-07-28_Tom,11
No Name Wreck_2025-08-05_Maia,9
No Name Wreck_2025-08-05_Mario,9
No Name Wreck_2025-09-09_Maddie,11
No Name Wreck_2025-09-09_Mario,11
No Name Wreck_2025-10-08_Agathe,9
No Name Wreck_2025-10-08_SK,10
Sattakut_2022-11-01_GlobalReef,17
Sattakut_2023-04-01_GlobalReef,16
Sattakut_2023-05-01_GlobalReef,13
Sattakut_2023-06-01_GlobalReef,15
Sattakut_2023-07-01_GlobalReef,16
Sattakut_2023-08-01_GlobalReef,14
Sattakut_2023-09-01_GlobalReef,14
Sattakut_2023-10-01_GlobalReef,15
Sattakut_2024-01-01_GlobalReef,13
Sattakut_2024-03-01_GlobalReef,16
Sattakut_2024-04-01_GlobalReef,9
Sattakut_2024-06-01_GlobalReef,14
Sattakut_2024-07-01_GlobalReef,18
Sattakut_2024-08-19_GlobalReef,14
Sattakut_2024-08-26_GlobalReef,13
Sattakut_2024-08-30_GlobalReef,16
Sattakut_2024-09-01_GlobalReef,18
Sattakut_2024-10-01_GlobalReef,11
Sattakut_2025-02-06_Camille,9
Sattakut_2025-02-06_Georgia,12
Sattakut_2025-03-10_Camille,13
Sattakut_2025-03-10_Elise,15
Sattakut_2025-03-10_Georgia,14
Sattakut_2025-03-10_Martin,13
Sattakut_2025-03-10_Max,14
Sattakut_2025-03-12_Camille,11
Sattakut_2025-03-12_Max,12
Sattakut_2025-03-28_Camille,14
Sattakut_2025-03-28_Elise,12
Sattakut_2025-03-28_Olive,14
Sattakut_2025-04-28_Emma,12
Sattakut_2025-04-28_Tessa,9
Sattakut_2025-05-05_Camille,13
Sattakut_2025-05-05_Jess,14
Sattakut_2025-05-05_Lucca,13
Sattakut_2025-05-05_Renzo,13
Sattakut_2025-05-05_Tessa,8
Sattakut_2025-05-19_Lucca,9
Sattakut_2025-05-19_Niamh,10
Sattakut_2025-10-09_Simone,14
Sattakut_2025-10-09_SK,13
